station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode,station_opening_hours,snapshot_time
210748575,2,2,"[{'mechanical': 0}, {'ebike': 2}]",49,49,1,1,1,1770728871,12126,,2026-02-10 14:02:35.655191
129119449,0,0,"[{'mechanical': 0}, {'ebike': 0}]",31,31,1,1,1,1770728994,20036,,2026-02-10 14:02:35.655191
6385,6,6,"[{'mechanical': 1}, {'ebike': 5}]",15,15,1,1,1,1770729079,19019,,2026-02-10 14:02:35.655191
214122655,16,16,"[{'mechanical': 12}, {'ebike': 4}]",13,13,1,1,1,1770729045,41604,,2026-02-10 14:02:35.655191
129077035,37,37,"[{'mechanical': 23}, {'ebike': 14}]",12,12,1,1,1,1770729087,15029,,2026-02-10 14:02:35.655191
15461933,5,5,"[{'mechanical': 3}, {'ebike': 2}]",11,11,1,1,1,1770728989,17018,,2026-02-10 14:02:35.655191
216473073,2,2,"[{'mechanical': 0}, {'ebike': 2}]",15,15,1,1,1,1770728831,18005,,2026-02-10 14:02:35.655191
37521,13,13,"[{'mechanical': 10}, {'ebike': 3}]",4,4,1,1,1,1770729111,10005,,2026-02-10 14:02:35.655191
216039437,30,30,"[{'mechanical': 5}, {'ebike': 25}]",10,10,1,1,1,1770729129,8102,,2026-02-10 14:02:35.655191
985086307,12,12,"[{'mechanical': 6}, {'ebike': 6}]",10,10,1,1,1,1770729036,26001,,2026-02-10 14:02:35.655191
82458977,4,4,"[{'mechanical': 1}, {'ebike': 3}]",19,19,1,1,1,1770729066,15017,,2026-02-10 14:02:35.655191
129103849,0,0,"[{'mechanical': 0}, {'ebike': 0}]",19,19,1,1,1,1770729054,18020,,2026-02-10 14:02:35.655191
1057009034,3,3,"[{'mechanical': 2}, {'ebike': 1}]",23,23,1,1,1,1770729126,20136,,2026-02-10 14:02:35.655191
82334007,41,41,"[{'mechanical': 35}, {'ebike': 6}]",5,5,1,1,1,1770729126,5026,,2026-02-10 14:02:35.655191
214146056,10,10,"[{'mechanical': 4}, {'ebike': 6}]",19,19,1,1,1,1770729123,43006,,2026-02-10 14:02:35.655191
85008390,43,43,"[{'mechanical': 40}, {'ebike': 3}]",26,26,1,1,1,1770729061,15028,,2026-02-10 14:02:35.655191
43155320,3,3,"[{'mechanical': 2}, {'ebike': 1}]",44,44,1,1,1,1770729079,14018,,2026-02-10 14:02:35.655191
221047138,1,1,"[{'mechanical': 1}, {'ebike': 0}]",16,16,1,1,1,1770728678,31702,,2026-02-10 14:02:35.655191
210567545,13,13,"[{'mechanical': 10}, {'ebike': 3}]",4,4,1,1,1,1770729101,7004,,2026-02-10 14:02:35.655191
129130397,3,3,"[{'mechanical': 3}, {'ebike': 0}]",18,18,1,1,1,1770728953,21013,,2026-02-10 14:02:35.655191
653129412,4,4,"[{'mechanical': 0}, {'ebike': 4}]",27,27,1,1,1,1770729051,42503,,2026-02-10 14:02:35.655191
419381597,37,37,"[{'mechanical': 35}, {'ebike': 2}]",11,11,1,1,1,1770729128,21111,,2026-02-10 14:02:35.655191
54000466,25,25,"[{'mechanical': 14}, {'ebike': 11}]",4,4,1,1,1,1770729131,2010,,2026-02-10 14:02:35.655191
426772876,24,24,"[{'mechanical': 15}, {'ebike': 9}]",7,7,1,1,1,1770728957,11114,,2026-02-10 14:02:35.655191
653046029,47,47,"[{'mechanical': 44}, {'ebike': 3}]",4,4,1,1,1,1770729028,5116,,2026-02-10 14:02:35.655191
54000548,26,26,"[{'mechanical': 21}, {'ebike': 5}]",5,5,1,1,1,1770729023,7006,,2026-02-10 14:02:35.655191
27414601,22,22,"[{'mechanical': 15}, {'ebike': 7}]",20,20,1,1,1,1770729031,7014,,2026-02-10 14:02:35.655191
215495494,6,6,"[{'mechanical': 1}, {'ebike': 5}]",40,40,1,1,1,1770729091,8012,,2026-02-10 14:02:35.655191
15308782,32,32,"[{'mechanical': 24}, {'ebike': 8}]",1,1,1,1,1,1770728931,5002,,2026-02-10 14:02:35.655191
20431134793,10,10,"[{'mechanical': 8}, {'ebike': 2}]",7,7,1,1,1,1770729050,22508,,2026-02-10 14:02:35.655191
74620630,2,2,"[{'mechanical': 0}, {'ebike': 2}]",24,24,1,1,1,1770728803,20040,,2026-02-10 14:02:35.655191
129091653,9,9,"[{'mechanical': 0}, {'ebike': 9}]",25,25,1,1,1,1770729025,17017,,2026-02-10 14:02:35.655191
129036192,4,4,"[{'mechanical': 2}, {'ebike': 2}]",10,10,1,1,1,1770729002,10023,,2026-02-10 14:02:35.655191
11004671601,16,16,"[{'mechanical': 10}, {'ebike': 6}]",11,11,1,1,1,1770729061,34002,,2026-02-10 14:02:35.655191
210754072,1,1,"[{'mechanical': 1}, {'ebike': 0}]",34,34,1,1,1,1770729041,13026,,2026-02-10 14:02:35.655191
419991048,41,41,"[{'mechanical': 24}, {'ebike': 17}]",8,8,1,1,1,1770729100,23002,,2026-02-10 14:02:35.655191
2820744873,3,3,"[{'mechanical': 2}, {'ebike': 1}]",27,27,1,1,1,1770729089,14139,,2026-02-10 14:02:35.655191
213676825,29,29,"[{'mechanical': 13}, {'ebike': 16}]",21,21,1,1,1,1770729018,13102,,2026-02-10 14:02:35.655191
20636558756,5,5,"[{'mechanical': 1}, {'ebike': 4}]",28,28,1,1,1,1770729041,10204,,2026-02-10 14:02:35.655191
15299574,25,25,"[{'mechanical': 21}, {'ebike': 4}]",24,24,1,1,1,1770729098,11101,,2026-02-10 14:02:35.655191
41566122,49,49,"[{'mechanical': 43}, {'ebike': 6}]",5,5,1,1,1,1770729105,15055,,2026-02-10 14:02:35.655191
963786819,6,6,"[{'mechanical': 1}, {'ebike': 5}]",24,24,1,1,1,1770728932,14130,,2026-02-10 14:02:35.655191
427678168,7,7,"[{'mechanical': 4}, {'ebike': 3}]",37,37,1,1,1,1770729112,10015,,2026-02-10 14:02:35.655191
976762284,19,19,"[{'mechanical': 4}, {'ebike': 15}]",7,7,1,1,1,1770728877,41207,,2026-02-10 14:02:35.655191
82421013,20,20,"[{'mechanical': 17}, {'ebike': 3}]",14,14,1,1,1,1770729130,12011,,2026-02-10 14:02:35.655191
434419150,57,57,"[{'mechanical': 42}, {'ebike': 15}]",0,0,1,1,1,1770728925,21308,,2026-02-10 14:02:35.655191
220502135,13,13,"[{'mechanical': 4}, {'ebike': 9}]",22,22,1,1,1,1770729001,12032,,2026-02-10 14:02:35.655191
129114993,4,4,"[{'mechanical': 0}, {'ebike': 4}]",25,25,1,1,1,1770728953,19037,,2026-02-10 14:02:35.655191
220726050,45,45,"[{'mechanical': 36}, {'ebike': 9}]",8,8,1,1,1,1770729126,6103,,2026-02-10 14:02:35.655191
254224239,3,3,"[{'mechanical': 1}, {'ebike': 2}]",60,60,1,1,1,1770729028,15038,,2026-02-10 14:02:35.655191
85118872,2,2,"[{'mechanical': 0}, {'ebike': 2}]",36,36,1,1,1,1770728946,20021,,2026-02-10 14:02:35.655191
100859941,47,47,"[{'mechanical': 24}, {'ebike': 23}]",5,5,1,1,1,1770729086,7005,,2026-02-10 14:02:35.655191
224589573,13,13,"[{'mechanical': 0}, {'ebike': 13}]",4,4,1,1,1,1770729104,6018,,2026-02-10 14:02:35.655191
